,Reviews
2644,"
phone is good and nice look
"
2645,"
Battery is ossm and display is good
"
2646,"
Not working properly ,,,hang hota h
"
2647,"
Camera 📸 super display 90 Hz
"
2648,"
One of the worst handset in all expects .
"
2649,"
Excellent features I like it
"
2650,"
Everything is perfectly working. No damage.
"
2651,"
Overall great phone
"
2652,"




                    The media could not be loaded.
                



 👍
"
2653,"
charger is not working after 20days
"
2654,"
Nice
"
2655,"
All is well but buttery is not good
"
2656,"
Perfect at this price.
"
2657,"
Good cemera
"
2658,"
Poor camera
"
2659,"




                    The media could not be loaded.
                


"
2660,"
Super camra
"
2661,"
Bad
"
2662,"
Good phone at this price bcz it's OnePlus
"
2663,"




                    The media could not be loaded.
                


"
2664,"
This is just outstanding.go for it
"
2665,"
Not as expected, Heating everytime
"
2666,"
I got the defected product
"
2667,
2668,"
Overall is good but camera quality is down
"
2669,"
Mobile I like most
"
2670,"
Everything is fine
"
2671,"
Nice phone quality
"
2672,"
Battery drain guickly
"
2673,"
How can the box packing charger is failure.
"
2674,"
Battery backup not good
"
2675,"
Phone is very good
"
2676,"
Didn't satisfied with battery life
"
2677,"
Good except speaker voice quality.
"
2678,"
Good phone
"
2679,"
good phone
"
2680,"
Phone is hanging want a refund immediately
"
2681,"
Nice..
"
2682,"
All are funtion good but camera average.
"
2683,"




                    The media could not be loaded.
                


"
2684,"
Good battery,good fingerprint,good camara
"
2685,"
😍
"
2686,"
I dislikes battery life, camera quality
"
2687,"
Good
"
2688,"
Nice fingerprint but quick battery discharge
"
2689,"
Camera nice
"
2690,"
Value for money I like this phone
"
2691,"
Very bad experience with nord ce2
"
2692,"
Coustomer care response very poor
"
2693,"
very good amajan the best
"
2694,"
Good phone in this budget
"
2695,"
Great Product
"
2696,"
Almost everything good for this price
"
2697,"
100% light weight
"
2698,"
Maja nii aa rha h.....bss
"
2699,"
Phone bhot kam time bhot hot ho jata aa
"
2700,"
I don't want to say how the worst product is.
"
2701,"
Good
"
2702,"
mobail is heating problem
"
2703,"
NYC phone
"
2704,"
Excellent
"
2705,"
Only look
"
2706,"
30 मिनट फूल चार्ज
"
2707,"
Worth it.
"
2708,"
Very nice mobile phone
"
2709,"
Very good
"
2710,"
I love it
"
2711,
2712,
2713,
2714,"
Good product no cons as of now
"
2715,"
Calls were go automatically mute
"
2716,"
Amazing product
"
2717,"
Macro camera should be better.
"
2718,"
Just go for it good product 🙂
"
2719,"
Camera good and all feacture good
"
2720,"
Sabse jyada hit karne wala phone
"
2721,"
Awesome camera 👌Go for it
"
2722,"
Frant fingerprint reader is ❤❤❤❤
"
2723,"
Nothing to like everything to dislike
"
2724,"
Nice Phone i m loving it
"
2725,"
Nice phone in this price
"
2726,"
5
"
2727,"
Bed camera qlety
"
2728,"
It's nice phone.
"
2729,"
Dead in arrival product received
"
2730,"
Wonder phone must be buy
"
2731,"
Camera quality osm and back pannel very nyc
"
2732,"
Average purchase
"
2733,"
This phone spend battery in more
"
2734,"
Battery drains very fast
"
2735,"
Value for money in mid segment range
"
2736,"
Best company in terms of quality
"
2737,"
Meet all expectation
"
2738,"
Camera very good 20x super zoom good quality
"
2739,"
Battery performance is very very low.
"
2740,"
Display and camera is very very poor.
"
2741,"
Pickup and delivery service very slow
"
2742,"
Battery draining little bit sad
"
2743,"
Name ke hisaab se. Quality poor
"
2744,"
Back camera 📷 quality not good
"
2745,"
Everything is excellent
"
2746,"




                    The media could not be loaded.
                


"
2747,"
Ok ok
"
2748,"
Good Product
"
2749,"
Best camera battery and fast charging
"
2750,"
Camera is too bad from one plus
"
2751,"
Mob over heated or hot using many times
"
2752,"
Battery backup is super..👌👌👌📱💯
"
2753,"
Awesome
"
2754,"
Setisfy
"
2755,"
So much heating
"
2756,"
Very smooth to use
"
2757,"
Fully satisfied with this smartphone
"
2758,"
one plus ka sbse ghatiya phone hai ,
"
2759,"
Over heating
"
2760,"
Battery backup is average.
"
2761,"
Overall nice product at this price🎉
"
2762,"
Osam...... One Plus Bablu
"
2763,"
Ek dum ghatiya mobile he
"
2764,"
Reader gudBattery small
"
2765,"
Very good features in Nord CE2
"
2766,"
कैमरा की गुणवत्ता बहुत खराब है
"
2767,"
Good phone in this price range
"
2768,"
Nothing special in this mobile
"
2769,"
I like you  your phone
"
2770,"
Good camera quality...
"
2771,"
worth
"
2772,"
Excellent budget phone from OnePlus!!!
"
2773,"
Nice product
"
2774,"
Battery charging speed is good
"
2775,"
Branded products. Awesome to use.
"
2776,"
Camera flash light not working
"
2777,"
I like it low cost best mobile
"
2778,"
I like the gameing parformance
"
2779,"
Good
"
2780,"
Camera not as expected
"
2781,"
Heating problem
"
2782,"
poor camera quality
"
2783,"
Same to same as oppo Reno 7
"
2784,"
Bad experience ..poor quality camera
"
2785,"
To worrest
"
2786,"
Avarage performance iam not satisfy
"
2787,"
Exlent
"
2788,"
Simply waste... No comments
"
2789,"
Fingerprint reader is very smoothly
"
2790,"
great experience worth buying
"
2791,"
Good perfomance and good battery life
"
2792,"
Slim one with good battery life.
"
2793,"
Best mobile OnePlus Nord CE 2
"
2794,"
Device is awesome performance
"
2795,"
I like very much this product
"
2796,"
Lost my phone 📱 dt. 21.05.22
"
2797,"
Camera quality is not so good
"
2798,"
Gaming mobile no hang
"
2799,"
Battery life not good
"
2800,"
Amazing product
"
2801,"
Camera is ok.
"
2802,"
Average Phone
"
2803,"
Good product.
"
2804,"
Bindas
"
2805,"
Very good battery, slow drain
"
2806,"
Camera can be better than now
"
2807,"
Ok
"
2808,"
Superb all-rounder phone
"
2809,"
I loved this product.thanks Amazon
"
2810,"
Smooth and amazing good camera and speed
"
2811,"
It is very easy to use, nice camera
"
2812,"
Best budget phone
"
2813,"
I used this product from last one month
"
2814,"
Camera not justified price
"
2815,"
Heating problem while charging phone
"
2816,"
All is ok and 4 point rating
"
2817,"
Good phone for non gamers...
"
2818,"
Not getting feel of one plus
"
2819,"
Nice Phone
"
2820,"
Nice
"
2821,"
Good Working
"
2822,
2823,"
Nice
"
2824,"
Good
"
2825,"
Camera is not up to the mark
"
2826,"
Not worthy.
"
2827,"
Paisa vasul Phone
"
2828,"
Awesome product
"
2829,"
Great phone in this price.
"
2830,"
very good
"
2831,"
బ్యాటరీ ఛార్జింగ్ ఉండడంలేదు
"
2832,"
One of best phone under 25k
"
2833,"
Battery backup is very poor
"
2834,"
Please Never buy this phone
"
2835,"
Nice phone of one plus best in mid range
"
2836,"
Fingerprint is good
"
2837,"
I like this product
"
2838,"
Nice camera
"
2839,"
Great Phone
"
2840,"
Very good looking.battery backup is good
"
2841,"
Camera ok battery ok hang problem
"
2842,"
I am having issue with my battery
"
2843,"
Nice phone
"
2844,"
Need to work on camera on low light
"
2845,
2846,"
I like but better life lower
"
2847,"
Phone is heating  when using internet.
"
2848,
2849,"
This product is very good 😌😌
"
2850,"
Good product
"
2851,"
Camera quality is very bad
"
2852,"
Camera quality is not good
"
2853,"
Nice product in this range
"
2854,"
Awesome phone from oneplus
"
2855,"
Koi baat nahi fir se lunga
"
2856,"
Great bettery life
"
2857,"
Liked the product.
"
2858,"
Gud camera quality
"
2859,"
Average...
"
2860,"
Nice phone
"
2861,"
All in one
"
2862,"
Mobile is very good ❤️
"
2863,"
Camera use no OnePlus feel
"
2864,"
Battery draining very fast
"
2865,"
Camera quality is not good
"
2866,"
Camera quality very poor
"
2867,"
Na
"
2868,"
no
"
2869,"
Camera pixels are average.
"
2870,"
Good phone
"
2871,"
Very user friendly
"
2872,"
oneplus it's a brand 👍
"
2873,"
Battery is likely to drain quickly
"
2874,"
Hanging and heating problem
"
2875,"
Na
"
2876,"
Battery Style Feature is not there :(
"
2877,"
Good experience 😊😊😊😊😊
"
2878,"
West of money
"
2879,"
All set phone just go and buy
"
2880,"
Better than other phone
"
2881,"
I like it... thanks amezon
"
2882,"
Everything is good
"
2883,"
Everything is good but not excellent
"
2884,"
Camera and fingerprint 😍
"
2885,"
Quality less front camera
"
2886,"
I didn't like the product
"
2887,"
Camera quality is too bad
"
2888,"
Not bad but not also good
"
2889,"
This product is very good
"
2890,"
Worst performance
"
2891,"
Not as i expected
"
2892,"
Not expected this
"
2893,"
Over heating ke baad lag Kara hai
"
2894,"
Phone body quality poor
"
2895,"
Super mobile
"
2896,"
Battery backup is not good
"
2897,"
Best off money this phone
"
2898,"
Front camera poor quality
"
2899,"
Battery life is very poor
"
2900,"
Excellent
"
2901,"
Average everything
"
2902,"
Very nice experience from that product
"
2903,"
Phone screen not working.
"
2904,"
Awesome phone under 25k😍
"
2905,"
Better than MI and realme
"
2906,"
Overall nyc phone
"
2907,"
Very nice oneplus camera..👌👌
"
2908,"
Bettery quality is bed
"
2909,
2910,"
Average product
"
2911,"
Great product with low price 😊
"
2912,"
It's battery is draining very rapidly
"
2913,"
Mobile camera quality is good,
"
2914,"
Outstanding performance💯💯
"
2915,"
Battery life is not good
"
2916,"
Night mode click
"
2917,"
Very good mobile
"
2918,"
Very Good Mobile
"
2919,"
Decent phone. Ok
"
2920,"
Loved the mobile looks and awesone
"
2921,"
Nice phone battery backup is good
"
2922,"
Poor phone  heat problem
"
2923,"
Best phone in this price
"
2924,"
👍👍👍👍
"
2925,"
Good one
"
2926,"
Best and beter
"
2927,"
Good performance
"
2928,"
Worest phone don't buy
"
2929,"
Heating problem issue
"
2930,"
Camera  quality  average
"
2931,"
Battery life is not good
"
2932,"
ok good 👍 not a bad....
"
2933,"
Hinging Problem Continue
"
2934,"
Battery performance poor
"
